t,mode0,mode1,mode2
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.515151515151515194e-02,1.000000000000000000e+00,9.131007162822621925e-01,8.858460329277068057e-01
3.030303030303030387e-02,1.000000000000000000e+00,8.337529180751805935e-01,7.847231940537560124e-01
4.545454545454545581e-02,9.999999999999996669e-01,7.613003866968736100e-01,6.951439283988787299e-01
6.060606060606060774e-02,9.999999999999998890e-01,6.951439283988788409e-01,6.157904912859285540e-01
7.575757575757575968e-02,1.000000000000000000e+00,6.347364189402818768e-01,5.454955638202433343e-01
9.090909090909091161e-02,9.999999999999998890e-01,5.795782787848093864e-01,4.832250811898254894e-01
1.060606060606060635e-01,1.000000000000000000e+00,5.292133415000503938e-01,4.280630211831759624e-01
1.212121212121212155e-01,1.000000000000000000e+00,4.832250811898253229e-01,3.791979291581653033e-01
1.363636363636363535e-01,1.000000000000000000e+00,4.412331677599840019e-01,3.359109812391624650e-01
1.515151515151515194e-01,1.000000000000000000e+00,4.028903215291331219e-01,2.975654101475653235e-01
1.666666666666666852e-01,1.000000000000000000e+00,3.678794411714423340e-01,2.635971381157267146e-01
1.818181818181818232e-01,1.000000000000000000e+00,3.359109812391622429e-01,2.335064790909133770e-01
1.969696969696969613e-01,1.000000000000000222e+00,3.067205575765566961e-01,2.068507881656021508e-01
2.121212121212121271e-01,1.000000000000000000e+00,2.800667608216487747e-01,1.832379501044680281e-01
2.272727272727272929e-01,9.999999999999998890e-01,2.557291599131006343e-01,1.623206111818479569e-01
2.424242424242424310e-01,1.000000000000000000e+00,2.335064790909134325e-01,1.437910694778410658e-01
2.575757575757575690e-01,1.000000000000000000e+00,2.132149333144621184e-01,1.273767484673777317e-01
2.727272727272727071e-01,1.000000000000000222e+00,1.946867083315101665e-01,1.128361873170568436e-01
2.878787878787879007e-01,1.000000000000000000e+00,1.777685728281376554e-01,9.995548890550236265e-02
3.030303030303030387e-01,1.000000000000000000e+00,1.623206111818482622e-01,8.854517331628869448e-02
3.181818181818181768e-01,1.000000000000000000e+00,1.482150663375201016e-01,7.843739051713063959e-02
3.333333333333333703e-01,1.000000000000000000e+00,1.353352832366126468e-01,6.948345122280161212e-02
3.484848484848485084e-01,1.000000000000000000e+00,1.235747440616138532e-01,6.155163961984464610e-02
3.636363636363636465e-01,9.999999999999998890e-01,1.128361873170569407e-01,5.452527577743521148e-02
3.787878787878787845e-01,1.000000000000000222e+00,1.030308034617642005e-01,4.830099924173009845e-02
3.939393939393939226e-01,1.000000000000000222e+00,9.407750044007393009e-02,4.278724856473074822e-02
4.090909090909091161e-01,1.000000000000000222e+00,8.590223303787626608e-02,3.790291440095846370e-02
4.242424242424242542e-01,1.000000000000000222e+00,7.843739051713062571e-02,3.357614635848762269e-02
4.393939393939393923e-01,1.000000000000000222e+00,7.162123746450352324e-02,2.974329605266626264e-02
4.545454545454545858e-01,1.000000000000000000e+00,6.539740322986017929e-02,2.634798081444863355e-02
4.696969696969697239e-01,1.000000000000000000e+00,5.971441573218513876e-02,2.334025428013474304e-02
4.848484848484848619e-01,1.000000000000000000e+00,5.452527577743530862e-02,2.067587166158132289e-02
5.000000000000000000e-01,1.000000000000000000e+00,4.978706836786386813e-02,1.831563888873422724e-02
5.151515151515151381e-01,1.000000000000000222e+00,4.546060778829058568e-02,1.622483605012148278e-02
5.303030303030302761e-01,1.000000000000000000e+00,4.151011353411494104e-02,1.437270664990262029e-02
5.454545454545454142e-01,9.999999999999997780e-01,3.790291440095845676e-02,1.273200516825005388e-02
5.606060606060606633e-01,1.000000000000000000e+00,3.460917828870047758e-02,1.127859626950919632e-02
5.757575757575758013e-01,1.000000000000000000e+00,3.160166548535291164e-02,9.991099762337956464e-03
5.909090909090909394e-01,1.000000000000000000e+00,2.885550339038822285e-02,8.850576089052186388e-03
6.060606060606060774e-01,1.000000000000000000e+00,2.634798081444878273e-02,7.840247717611610601e-03
6.212121212121212155e-01,1.000000000000000222e+00,2.405836015426445970e-02,6.945252337816909712e-03
6.363636363636363535e-01,1.000000000000000000e+00,2.196770588943538008e-02,6.152424231136970761e-03
