mu,l0,l1,l2
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.060606060606060774e-02,1.000000000000000000e+00,3.060606060606060552e+00,5.060606060606060552e+00
1.212121212121212155e-01,1.000000000000000000e+00,3.121212121212121104e+00,5.121212121212121104e+00
1.818181818181818232e-01,1.000000000000000000e+00,3.181818181818181657e+00,5.181818181818181657e+00
2.424242424242424310e-01,1.000000000000000000e+00,3.242424242424242209e+00,5.242424242424242209e+00
3.030303030303030387e-01,1.000000000000000000e+00,3.303030303030303205e+00,5.303030303030302761e+00
3.636363636363636465e-01,1.000000000000000000e+00,3.363636363636363757e+00,5.363636363636363313e+00
4.242424242424242542e-01,1.000000000000000000e+00,3.424242424242424310e+00,5.424242424242423866e+00
4.848484848484848619e-01,1.000000000000000000e+00,3.484848484848484862e+00,5.484848484848484418e+00
5.454545454545454142e-01,1.000000000000000000e+00,3.545454545454545414e+00,5.545454545454544970e+00
6.060606060606060774e-01,1.000000000000000000e+00,3.606060606060605966e+00,5.606060606060606410e+00
6.666666666666667407e-01,1.000000000000000000e+00,3.666666666666666963e+00,5.666666666666666963e+00
7.272727272727272929e-01,1.000000000000000000e+00,3.727272727272727515e+00,5.727272727272727515e+00
7.878787878787878451e-01,1.000000000000000000e+00,3.787878787878788067e+00,5.787878787878788067e+00
8.484848484848485084e-01,1.000000000000000000e+00,3.848484848484848619e+00,5.848484848484848619e+00
9.090909090909091717e-01,1.000000000000000000e+00,3.909090909090909172e+00,5.909090909090909172e+00
9.696969696969697239e-01,1.000000000000000000e+00,3.969696969696969724e+00,5.969696969696969724e+00
1.030303030303030276e+00,1.000000000000000000e+00,4.030303030303030276e+00,6.030303030303030276e+00
1.090909090909090828e+00,1.000000000000000000e+00,4.090909090909090828e+00,6.090909090909090828e+00
1.151515151515151603e+00,1.000000000000000000e+00,4.151515151515151381e+00,6.151515151515151381e+00
1.212121212121212155e+00,1.000000000000000000e+00,4.212121212121211933e+00,6.212121212121211933e+00
1.272727272727272707e+00,1.000000000000000000e+00,4.272727272727272485e+00,6.272727272727272485e+00
